"","name","rating","href","num_review"
"74","Air Tahiti",4,"/Airline_Review-d10533095-Reviews-Air-Tahiti",244
"75","Air Tahiti Nui",3.5,"/Airline_Review-d8729013-Reviews-Air-Tahiti-Nui",1239
"76","Air Transat",3.5,"/Airline_Review-d8729014-Reviews-Air-Transat",8037
"77","Air Vanuatu",4,"/Airline_Review-d8729190-Reviews-Air-Vanuatu",297
"78","Air VIA [no longer operating]",2,"/Airline_Review-d8728947-Reviews-Air-VIA-No-Longer-Operating",83
"79","Air Zimbabwe",2,"/Airline_Review-d11831119-Reviews-Air-Zimbabwe",54
"80","AirAsia - AirAsia Berhad (Malaysia)",3.5,"/Airline_Review-d8729220-Reviews-AirAsia-AirAsia-Berhad-Malaysia",-2
"81","AirAsia - AirAsia India",3,"/Airline_Review-d8728894-Reviews-AirAsia-AirAsia-India",-2
"82","AirAsia - AirAsia Japan",3.5,"/Airline_Review-d8728895-Reviews-AirAsia-AirAsia-Japan",60
"83","AirAsia - AirAsia X Berhad (Malaysia)",3.5,"/Airline_Review-d8728893-Reviews-AirAsia-AirAsia-X-Berhad-Malaysia",1599
"84","AirAsia - Indonesia AirAsia",3.5,"/Airline_Review-d8728920-Reviews-AirAsia-Indonesia-AirAsia",2208
"85","AirAsia - Philippines AirAsia",3,"/Airline_Review-d8728918-Reviews-AirAsia-Philippines-AirAsia",744
"86","AirAsia - Thai AirAsia",3.5,"/Airline_Review-d8728898-Reviews-AirAsia-Thai-AirAsia",4664
"87","AirAsia - Thai AirAsia X",3.5,"/Airline_Review-d12280240-Reviews-AirAsia-Thai-AirAsia-X",156
"88","Airblue",3,"/Airline_Review-d8728892-Reviews-Airblue",41
"89","Aircalin",3.5,"/Airline_Review-d8728975-Reviews-Aircalin",247
"90","AirKenya Express",3,"/Airline_Review-d14190664-Reviews-AirKenya-Express",-2
"91","Airlink",4,"/Airline_Review-d8729016-Reviews-Airlink",260
"92","Airnorth (Australia)",4,"/Airline_Review-d8728876-Reviews-Airnorth-Australia",182
"93","AirSWIFT",3.5,"/Airline_Review-d11831124-Reviews-AirSWIFT",196
"94","Alaska Airlines",4.5,"/Airline_Review-d8729017-Reviews-Alaska-Airlines",11774
"95","Alaska Seaplanes",4.5,"/Airline_Review-d10816877-Reviews-Alaska-Seaplanes",23
"96","Alba Star",3,"/Airline_Review-d10823587-Reviews-Alba-Star",517
"97","Alexandria Airlines",1,"/Airline_Review-d8728966-Reviews-Alexandria-Airlines",-1
"98","Alitalia",3.5,"/Airline_Review-d8729018-Reviews-Alitalia",15201
"99","Allegiant Air",3.5,"/Airline_Review-d8729019-Reviews-Allegiant-Air",7208
